date,season,month,team,opponent,home_away,runs_for,runs_against,result,win,loss,draw,run_diff,stadium,game_id,source_url
2024-06-25,2024,6,삼성,LG,away,0,4,L,0,1,0,-4,잠실,20240625SSLG0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240625&gameId=20240625SSLG0
2024-06-26,2024,6,KIA,롯데,away,4,6,L,0,1,0,-2,사직,20240626HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240626&gameId=20240626HTLT0
2024-06-26,2024,6,삼성,LG,away,1,2,L,0,1,0,-1,잠실,20240626SSLG0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240626&gameId=20240626SSLG0
2024-06-27,2024,6,KIA,롯데,away,2,11,L,0,1,0,-9,사직,20240627HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240627&gameId=20240627HTLT0
2024-06-27,2024,6,삼성,LG,away,2,1,W,1,0,0,1,잠실,20240627SSLG0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240627&gameId=20240627SSLG0
2024-06-28,2024,6,삼성,KT,away,4,5,L,0,1,0,-1,수원,20240628SSKT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240628&gameId=20240628SSKT0
2024-06-28,2024,6,KIA,키움,home,6,17,L,0,1,0,-11,광주,20240628WOHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240628&gameId=20240628WOHT0
2024-06-30,2024,6,삼성,KT,away,2,2,D,0,0,1,0,수원,20240630SSKT1,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240630&gameId=20240630SSKT1
2024-06-30,2024,6,삼성,KT,away,1,2,L,0,1,0,-1,수원,20240630SSKT2,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240630&gameId=20240630SSKT2
2024-07-02,2024,7,KIA,삼성,away,9,5,W,1,0,0,4,대구,20240702HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240702&gameId=20240702HTSS0
2024-07-02,2024,7,삼성,KIA,home,5,9,L,0,1,0,-4,대구,20240702HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240702&gameId=20240702HTSS0
2024-07-03,2024,7,KIA,삼성,away,6,4,W,1,0,0,2,대구,20240703HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240703&gameId=20240703HTSS0
2024-07-03,2024,7,삼성,KIA,home,4,6,L,0,1,0,-2,대구,20240703HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240703&gameId=20240703HTSS0
2024-07-04,2024,7,KIA,삼성,away,8,3,W,1,0,0,5,대구,20240704HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240704&gameId=20240704HTSS0
2024-07-04,2024,7,삼성,KIA,home,3,8,L,0,1,0,-5,대구,20240704HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240704&gameId=20240704HTSS0
