date,season,month,team,opponent,result,rolling_window_games,rolling_wins,rolling_losses,rolling_draws,rolling_win_rate
2024-05-02,2024,5,KIA,KT,L,10,5,5,0,0.500
2024-05-03,2024,5,KIA,한화,L,10,5,5,0,0.500
2024-05-04,2024,5,KIA,한화,W,10,5,5,0,0.500
2024-05-08,2024,5,KIA,삼성,W,10,5,5,0,0.500
2024-05-09,2024,5,KIA,삼성,L,10,4,6,0,0.400
2024-05-10,2024,5,KIA,SSG,L,10,4,6,0,0.400
2024-05-12,2024,5,KIA,SSG,W,10,5,5,0,0.500
2024-05-12,2024,5,KIA,SSG,L,10,4,6,0,0.400
2024-05-14,2024,5,KIA,두산,L,10,4,6,0,0.400
2024-05-15,2024,5,KIA,두산,W,10,4,6,0,0.400
2024-05-16,2024,5,KIA,두산,D,10,4,5,1,0.444
2024-05-17,2024,5,KIA,NC,W,10,5,4,1,0.556
2024-05-18,2024,5,KIA,NC,W,10,5,4,1,0.556
2024-05-19,2024,5,KIA,NC,W,10,5,4,1,0.556
2024-05-21,2024,5,KIA,롯데,L,10,5,4,1,0.556
2024-05-22,2024,5,KIA,롯데,L,10,5,4,1,0.556
2024-05-23,2024,5,KIA,롯데,L,10,4,5,1,0.444
2024-05-24,2024,5,KIA,두산,L,10,4,5,1,0.444
2024-05-25,2024,5,KIA,두산,W,10,5,4,1,0.556
2024-05-26,2024,5,KIA,두산,W,10,5,4,1,0.556
2024-05-28,2024,5,KIA,NC,W,10,6,4,0,0.600
2024-05-29,2024,5,KIA,NC,W,10,6,4,0,0.600
2024-05-30,2024,5,KIA,NC,W,10,6,4,0,0.600
2024-05-31,2024,5,KIA,KT,L,10,5,5,0,0.500
2024-06-01,2024,6,KIA,KT,W,10,6,4,0,0.600
2024-06-02,2024,6,KIA,KT,L,10,6,4,0,0.600
2024-06-04,2024,6,KIA,롯데,L,10,6,4,0,0.600
2024-06-05,2024,6,KIA,롯데,L,10,6,4,0,0.600
2024-06-06,2024,6,KIA,롯데,W,10,6,4,0,0.600
2024-06-07,2024,6,KIA,두산,L,10,5,5,0,0.500
2024-06-08,2024,6,KIA,두산,L,10,4,6,0,0.400
2024-06-09,2024,6,KIA,두산,W,10,4,6,0,0.400
2024-06-11,2024,6,KIA,SSG,L,10,3,7,0,0.300
2024-06-12,2024,6,KIA,SSG,W,10,4,6,0,0.400
2024-06-13,2024,6,KIA,SSG,L,10,3,7,0,0.300
2024-06-14,2024,6,KIA,KT,W,10,4,6,0,0.400
2024-06-15,2024,6,KIA,KT,W,10,5,5,0,0.500
2024-06-16,2024,6,KIA,KT,W,10,6,4,0,0.600
2024-06-18,2024,6,KIA,LG,W,10,6,4,0,0.600
2024-06-19,2024,6,KIA,LG,L,10,6,4,0,0.600
2024-06-20,2024,6,KIA,LG,W,10,7,3,0,0.700
2024-06-21,2024,6,KIA,한화,W,10,7,3,0,0.700
2024-06-23,2024,6,KIA,한화,L,10,7,3,0,0.700
2024-06-23,2024,6,KIA,한화,W,10,7,3,0,0.700
2024-06-25,2024,6,KIA,롯데,D,10,7,2,1,0.778
2024-06-26,2024,6,KIA,롯데,L,10,6,3,1,0.667
2024-06-27,2024,6,KIA,롯데,L,10,5,4,1,0.556
2024-06-28,2024,6,KIA,키움,L,10,4,5,1,0.444
2024-07-02,2024,7,KIA,삼성,W,10,4,5,1,0.444
2024-07-03,2024,7,KIA,삼성,W,10,5,4,1,0.556
2024-07-04,2024,7,KIA,삼성,W,10,5,4,1,0.556
2024-07-09,2024,7,KIA,LG,W,10,5,4,1,0.556
2024-07-10,2024,7,KIA,LG,W,10,6,3,1,0.667
2024-07-11,2024,7,KIA,LG,W,10,6,3,1,0.667
2024-07-12,2024,7,KIA,SSG,L,10,6,4,0,0.600
2024-07-13,2024,7,KIA,SSG,L,10,6,4,0,0.600
2024-07-14,2024,7,KIA,SSG,W,10,7,3,0,0.700
2024-07-17,2024,7,KIA,삼성,W,10,8,2,0,0.800
2024-07-18,2024,7,KIA,삼성,W,10,8,2,0,0.800
2024-07-19,2024,7,KIA,한화,W,10,8,2,0,0.800
2024-07-20,2024,7,KIA,한화,W,10,8,2,0,0.800
2024-07-21,2024,7,KIA,한화,W,10,8,2,0,0.800
2024-07-23,2024,7,KIA,NC,W,10,8,2,0,0.800
2024-07-24,2024,7,KIA,NC,W,10,8,2,0,0.800
2024-07-25,2024,7,KIA,NC,L,10,8,2,0,0.800
2024-07-26,2024,7,KIA,키움,L,10,8,2,0,0.800
2024-07-27,2024,7,KIA,키움,L,10,7,3,0,0.700
2024-07-28,2024,7,KIA,키움,W,10,7,3,0,0.700
2024-07-30,2024,7,KIA,두산,L,10,6,4,0,0.600
2024-07-31,2024,7,KIA,두산,L,10,5,5,0,0.500
2024-08-01,2024,8,KIA,두산,L,10,4,6,0,0.400
2024-08-02,2024,8,KIA,한화,L,10,3,7,0,0.300
2024-08-03,2024,8,KIA,한화,W,10,3,7,0,0.300
2024-08-06,2024,8,KIA,KT,W,10,3,7,0,0.300
